address,bedrooms,type,transaction_prices,transaction_dates,tenure,newBuild,locationLat,locationLng,url
"Glencoe, Ashfield Avenue, Feltham, Greater London TW13 5BB",4.0,DETACHED,"£650,000",31 Oct 2024,FREEHOLD,False,51.44575,-0.4043,https://www.rightmove.co.uk/house-prices/details/england-147750581-94499100?s=5bd36cd7396fab276c5c8d482f08356bca8bb8b019fdf28d17af43165431f717
"Glencoe, Ashfield Avenue, Feltham, Greater London TW13 5BB",4.0,DETACHED,"£133,000",15 Sep 1997,FREEHOLD,False,51.44575,-0.4043,https://www.rightmove.co.uk/house-prices/details/england-147750581-94499100?s=5bd36cd7396fab276c5c8d482f08356bca8bb8b019fdf28d17af43165431f717
"8, Heathcote Grove, London, Greater London E4 6RT",2.0,SEMI_DETACHED,"£282,500",31 Oct 2024,FREEHOLD,False,51.62463,-0.00579,https://www.rightmove.co.uk/house-prices/details/england-61976974-94288299?s=c69febedf426af3e8eccfabdfe183598dcad9891103bb5c212ec489efa9024cf
"8, Heathcote Grove, London, Greater London E4 6RT",2.0,SEMI_DETACHED,"£310,000",14 Oct 2002,FREEHOLD,False,51.62463,-0.00579,https://www.rightmove.co.uk/house-prices/details/england-61976974-94288299?s=c69febedf426af3e8eccfabdfe183598dcad9891103bb5c212ec489efa9024cf
"145, Winterbourne Road, Thornton Heath, Greater London CR7 7QZ",3.0,TERRACED,"£380,000",30 Oct 2024,FREEHOLD,False,51.40127,-0.11027,https://www.rightmove.co.uk/house-prices/details/england-152961185-94253703?s=9723a8afa889f0ff16c8f7b93bbe9d089f38b7fa8cf54416e99c492d65887d1b
"145, Winterbourne Road, Thornton Heath, Greater London CR7 7QZ",3.0,TERRACED,"£357,500",1 Jun 2021,FREEHOLD,False,51.40127,-0.11027,https://www.rightmove.co.uk/house-prices/details/england-152961185-94253703?s=9723a8afa889f0ff16c8f7b93bbe9d089f38b7fa8cf54416e99c492d65887d1b
"24, Foxley Gardens, Purley, Greater London CR8 2DQ",5.0,TERRACED,"£517,000",30 Oct 2024,FREEHOLD,False,51.33097,-0.11129,https://www.rightmove.co.uk/house-prices/details/england-149034602-94253799?s=090bbd57c259de29f521cd839848ed21f88d0a1c37e64203b287c0d76a863c5b
"24, Foxley Gardens, Purley, Greater London CR8 2DQ",5.0,TERRACED,"£430,000",4 Sep 2018,FREEHOLD,False,51.33097,-0.11129,https://www.rightmove.co.uk/house-prices/details/england-149034602-94253799?s=090bbd57c259de29f521cd839848ed21f88d0a1c37e64203b287c0d76a863c5b
"24, Foxley Gardens, Purley, Greater London CR8 2DQ",5.0,TERRACED,"£150,950",4 Jan 2002,FREEHOLD,False,51.33097,-0.11129,https://www.rightmove.co.uk/house-prices/details/england-149034602-94253799?s=090bbd57c259de29f521cd839848ed21f88d0a1c37e64203b287c0d76a863c5b
"First Floor Flat, 155, Silverdale, London, Greater London SE26 4SQ",,FLAT,"£395,000",30 Oct 2024,LEASEHOLD,False,51.42983,-0.05298,https://www.rightmove.co.uk/house-prices/details/england-94446327?s=a48afe69d087642a6709aed482c513f630fbfd557ef1b35477008053dcc00082
"First Floor Flat, 155, Silverdale, London, Greater London SE26 4SQ",,FLAT,"£362,500",24 Mar 2016,LEASEHOLD,False,51.42983,-0.05298,https://www.rightmove.co.uk/house-prices/details/england-94446327?s=a48afe69d087642a6709aed482c513f630fbfd557ef1b35477008053dcc00082
"12, Magnolia Road, London, Greater London W4 3QY",2.0,SEMI_DETACHED,"£850,000",30 Oct 2024,FREEHOLD,False,51.48497,-0.27777,https://www.rightmove.co.uk/house-prices/details/england-151571213-94503738?s=3ee09518387c0f9540e95e85a0682544d02bfd7a122f829530e102320783422b
"12, Magnolia Road, London, Greater London W4 3QY",2.0,SEMI_DETACHED,"£165,000",28 May 1998,FREEHOLD,False,51.48497,-0.27777,https://www.rightmove.co.uk/house-prices/details/england-151571213-94503738?s=3ee09518387c0f9540e95e85a0682544d02bfd7a122f829530e102320783422b
"20, Princes Road, Richmond, Greater London TW10 6DH",2.0,TERRACED,"£900,000",30 Oct 2024,FREEHOLD,False,51.4603,-0.29439,https://www.rightmove.co.uk/house-prices/details/england-150333095-94498638?s=177c5d3528432dde7c270c0adebe0786938034069c0d5f285c36e34eef055112
"20, Princes Road, Richmond, Greater London TW10 6DH",2.0,TERRACED,"£860,000",12 Jan 2021,FREEHOLD,False,51.4603,-0.29439,https://www.rightmove.co.uk/house-prices/details/england-150333095-94498638?s=177c5d3528432dde7c270c0adebe0786938034069c0d5f285c36e34eef055112
"20, Princes Road, Richmond, Greater London TW10 6DH",2.0,TERRACED,"£710,000",30 Apr 2014,FREEHOLD,False,51.4603,-0.29439,https://www.rightmove.co.uk/house-prices/details/england-150333095-94498638?s=177c5d3528432dde7c270c0adebe0786938034069c0d5f285c36e34eef055112
"20, Princes Road, Richmond, Greater London TW10 6DH",2.0,TERRACED,"£400,000",5 May 2006,FREEHOLD,False,51.4603,-0.29439,https://www.rightmove.co.uk/house-prices/details/england-150333095-94498638?s=177c5d3528432dde7c270c0adebe0786938034069c0d5f285c36e34eef055112
